line                                    	meter	[*footmin-no-s-unless-preceded-by-ww]	[*footmin-none]	[*posthoc-no-final-ww]	[*posthoc-standardize-weakpos]	[*strength.s=>-u]	[*strength.w=>-p]	[*stress.s=>-u]	[*stress.w=>-p]
and thus declared that arab lady        	wswswswsw	0	0	0	0	0	0.0	0	0
last night where under the wild moon    	swwswwss	0	0	0	0	0	0.0	2.0	3.0
                                        	wswswwss	0	0	0	0	0	1.0	2.0	2.0
                                        	wswswsws	0	0	2.0	0	0	0.0	4.0	0
                                        	wswswwsw	0	0	0	0	0	1.0	4.0	1.0
                                        	sswswwss	0	0	0	0	10.0	1.0	0	3.0
                                        	sswswsws	0	0	2.0	0	10.0	0.0	2.0	1.0
                                        	sswswwsw	0	0	0	0	10.0	1.0	2.0	2.0
on grassy mattress i had laid me        	wswswswsw	0	0	2.0	0	0	0.0	0	0
                                        	wswswwssw	0	0	0	0	0	1.0	0	2.0
within my arms great solomon            	wswswsws	0	0	2.0	0	0	0.0	2.0	0
                                        	wswswsww	0	0	0	1.0	0	1.0	2.0	1.0
i suddenly cried out in a strange tongue	wswwswswsw	0	0	0	0	0	1.0	2.0	1.0
                                        	wswswswsws	0	0	6.0	0	0	0.0	4.0	0
                                        	wswwswswss	0	0	0	0	10.0	1.0	0	2.0
                                        	swswswswsw	3.0	3.0	4.0	0	0	0.0	4.0	0
                                        	swswswswss	3.0	3.0	4.0	0	10.0	0.0	2.0	1.0
not his not mine                        	swsw	0	0	0	0	0	0.0	0	0
who understood                          	wsws	0	0	0	0	0	0.0	0	0
whatever has been said sighed sung      	wswswsws	0	0	0	0	0	0.0	2.0	0
howled miau d barked brayed belled yelled cried crowed	wswswswswsw	0	0	0	0	0	0.0	10.0	0
                                        	wswswswswws	0	0	0	0	0	1.0	8.0	1.0
                                        	wswswswwsws	0	0	0	0	0	1.0	8.0	1.0
                                        	wswswwswsws	0	0	0	0	0	1.0	8.0	1.0
                                        	wswswwswwss	0	0	0	0	0	2.0	6.0	3.0
                                        	wswswwsswws	0	0	0	0	0	2.0	6.0	3.0
                                        	sswswswswsw	0	0	0	0	10.0	0.0	8.0	1.0
                                        	sswswswswws	0	0	0	0	10.0	1.0	6.0	2.0
                                        	sswswswwsws	0	0	0	0	10.0	1.0	6.0	2.0
                                        	sswswwswsws	0	0	0	0	10.0	1.0	6.0	2.0
                                        	sswswwswwss	0	0	0	0	10.0	1.0	4.0	4.0
                                        	sswswwsswws	0	0	0	0	10.0	1.0	4.0	4.0
                                        	wswswswswss	0	0	0	0	10.0	0.0	8.0	1.0
                                        	wswswwsswss	0	0	0	0	10.0	1.0	6.0	3.0
                                        	wswsswwssws	0	0	0	0	10.0	1.0	6.0	3.0
                                        	sswswswswss	0	0	0	0	20.0	0.0	6.0	2.0
thereon replied a cockerel              	wswswsws	0	0	2.0	0	0	0.0	0	0
                                        	wswswsww	0	0	0	1.0	0	1.0	0	1.0
crew from a blossoming apple bough      	swwswwsws	0	0	0	0	0	1.0	0	2.0
                                        	swwswwsww	0	0	0	1.0	0	0.0	2.0	3.0
                                        	wswswwsws	0	0	2.0	0	0	1.0	2.0	1.0
