line	strength.s=>-u	strength.w=>-p	stress.s=>-u	posthoc-no-final-ww	footmin-no-s-unless-preceded-by-ww	posthoc-standardize-weakpos	stress.w=>-p	footmin-none
line000062_I|am|THINK|ing|OF|a|CHILD'S|vow|SWORN|in|VAIN	0	0	4.0	0	0	0.0	2.0	0
line000030_though|SEV|eral|ARE|a|SIN|gle|LIGHT	0	0	2.0	0	0	0.0	0	0
line000182_it|FEARED|to|GIVE|its|LOVE|a|HURT|with|ALL|the|TEM|pest|THERE	0	0	2.0	0	0	0.0	0	0
line000035_if|THAT|be|SO	0	0	2.0	0	0	0.0	0	0
line000069_or.po|LITE.MEAN|ing.less|WORDS	0	0	0	0	0	0.0	0	3.0
line000184_i|CAN|ex|CHANGE|op|IN|ion.with|AN|y|NEIGH|bour.ing|MIND	0	0	2.0	0	0	2.0	0	2.0
line000092_so|SEN|si|TIVE|his|NA|ture|SEEMED	0	0	2.0	0	0	0.0	0	0
line000259_or|RO|cky|CIS|tern|WHERE|we|TREAD|the|CLOTHES	0	0	0	0	0	0.0	0	0
line000292_BRED|out|OF|the.con|TA|gion|OF|the|THRONG	0	0	4.0	0	0	1.0	0	1.0
line000016_all|THAT|the|BRIG|and|AP|ple|BROUGHT	0	0	0	0	0	0.0	0	0
line000128_what|IS|it.but|NIGHT.FALL	0	0	2.0	0	0	1.0	0	2.0
line000325_CON|duct.and|WORK|grow|COARSE|and|COARSE|the|SOUL	0	0	0	0	0	1.0	2.0	1.0
line000158_and|THERE|fore|I|have|SAILED|the|SEAS|and|COME	0	0	2.0	0	0	0.0	0	0
line000281_an|AGE|is|THE|re|VER|sal|OF|an|AGE	0	0	4.0	0	0	0.0	0	0
line000357_on.their|OWN.FEET|they|CAME|or.on|SHIP.BOARD	0	0	0	0	0	1.0	0	4.0
line000249_they.are|SPREAD.WIDE|that|EACH	0	0	0	0	0	1.0	0	2.0
line000003_on|GRA|ssy|MAT|tress|I|had|LAID|me	0	0	2.0	0	0	0.0	0	0
line000011_CREW|from.a|BLOS|som.ing|AP|ple|BOUGH	0	0	0	0	0	1.0	0	2.0
line000143_a|TER|ri.ble|BEAU|ty.is|BORN	0	0	0	0	0	1.0	0	2.0
line000284_what|MAT|ter|FOR|the|SCENE|the|SCENE|once|GONE	0	0	2.0	0	0	0.0	2.0	0
line000118_MI|nute.by|MI|nute.they|LIVE	0	0	0	0	0	0.0	0	2.0
line000277_a|PI|erced.boy|IM|age|OF|a|STAR|laid|LOW	0	0	2.0	0	0	1.0	4.0	1.0
line000096_he|HAD|done.most|BIT|ter|WRONG	0	0	0	0	0	1.0	0	1.0
line000055_and|OF|a|RED|haired|YEATS|whose|LOOKS|al|THOUGH|he|DIED	0	0	2.0	0	0	0.0	2.0	0
line000021_to|FIND|out|SOME|ap|PRO|pri.ate|PAIN	0	0	0	0	0	1.0	0	1.0
line000251_the|THREE|fold|TER|ror.of|LOVE|a|FALL|en|FLARE	0	3.0	0	0	0	1.0	2.0	1.0
line000160_o|SAG|es|STAND|ing|IN|god's|HOL|y|FIRE	0	0	0	0	0	0.0	2.0	0
line000202_great|WIN|dows|OP|en|TO|the|SOUTH	0	0	2.0	0	0	0.0	2.0	0
line000232_BID|me|STRIKE|a|MATCH|and|BLOW	0	0	0	0	0	0.0	0	0
line000269_BRIGHT|ness.re|MAINS|a|BRI|ghter|STAR|shoots|DOWN	0	0	2.0	0	0	1.0	2.0	1.0
line000179_it|COULD|not|BEAR|that|BUR|den.and|THERE|fore.it|WENT.MAD	0	0	0	0	0	2.0	0	3.0
line000103_a|TER|ri.ble|BEAU|ty.is|BORN	0	0	0	0	0	1.0	0	2.0
line000026_MA|ybe.the|BRIDE|bed|BRINGS|de|SPAIR	0	0	0	0	0	1.0	2.0	1.0
line000253_wings|BEAT|ing.ab|OUT|the|ROOM	0	0	0	0	0	1.0	2.0	1.0
line000028_and|FINDS|a.real|IM|age|THERE	0	0	2.0	0	0	1.0	2.0	1.0
line000006_NOT|his|NOT|mine	0	0	0	0	0	0.0	0	0
line000225_HAVE|no|EN|e|MY|but|TIME	0	0	2.0	0	0	0.0	2.0	0
line000306_their|SCHOOL|a|CROWD|his|MAS|ter|SO|li|TUDE	0	0	0	0	0	0.0	0	0
line000057_you|HEARD|that|LA|bo.uring|MAN.WHO|had|SERVED|my	0	0	0	0	0	1.0	0	2.0
line000285_it|HAD|not|TOUCHED|our|LIVES|but|POP|u.lar|RAGE	0	0	0	0	0	1.0	0	1.0
line000260_and|GATH|er|ALL|the|TALK	0	0	0	0	0	0.0	0	0
line000150_caught|IN|that|SEN|su.al|MU|sic|ALL|ne|GLECT	0	0	0	0	0	1.0	2.0	1.0
