a	'eɪ
a	ə
a's	'eɪz
a.	'eɪ
a.`s	'eɪz
a.s	'eɪz
a42128	'eɪ.'fɔːr.'tuː.'wʌn.'tuː.'eɪt
aaa	`trɪ.pə.'leɪ
aaberg	'ɑ.bɛːg
aachen	'ɑ.kən
aaker	'ɑ.kɛː
aalseth	'ɑl.sɛθ
aamodt	'ɑ.mət
aancor	'ɑn.`kɔːr
aardema	ɑr.'dɛ.mə
aardvark	'ɑrd.`vɑrk
aaron	'ɛ.rən
aaron's	'ɛ.rənz
aarons	'ɛ.rənz
aaronson	'ɛ.rən.sən
aaronson's	'ɛ.rən.sənz
aarti	'ɑr.`tiː
aase	'ɑs
aasen	'ɑ.sən
ab	'æb
ab	'eɪ.'biː
ababa	ə.'bɑ.bə
ababa	'ɑ.bə.bə
abacha	'æ.bə.kə
aback	ə.'bæk
abaco	'æ.bə.`koʊ
abacus	'æ.bə.kəs
abad	ə.'bɑd
abadaka	ə.'bæ.də.kə
abadi	ə.'bæ.diː
abadie	ə.'bæ.diː
abair	ə.'bɛr
abalkin	ə.'bɑl.kɪn
abalone	`æ.bə.'loʊ.niː
abalos	ɑ.'bɑ.loʊz
abandon	ə.'bæn.dən
abandoned	ə.'bæn.dənd
abandoning	ə.'bæn.də.nɪŋ
abandonment	ə.'bæn.dən.mənt
abandonments	ə.'bæn.dən.mənts
abandons	ə.'bæn.dənz
abanto	ə.'bæn.toʊ
abarca	ə.'bɑr.kə
abare	ɑ.'bɑ.riː
abascal	'æ.bə.skəl
abash	ə.'bæʃ
abashed	ə.'bæʃt
abate	ə.'beɪt
abated	ə.'beɪ.tɪd
abatement	ə.'beɪt.mənt
abatements	ə.'beɪt.mənts
abates	ə.'beɪts
abating	ə.'beɪ.tɪŋ
abba	'æ.bə
abbado	ə.'bɑ.doʊ
abbas	ə.'bɑs
abbasi	ɑ.'bɑ.siː
abbate	'ɑ.beɪt
abbatiello	ɑ.bɑ.tiː.'ɛ.loʊ
abbe	'æ.biː
abbe	æ.'beɪ
abbenhaus	'æ.bən.`haʊs
abbett	ə.'bɛt
abbeville	'æb.vɪl
abbey	'æ.biː
abbey's	'æ.biːz
abbie	'æ.biː
abbitt	'æ.bɪt
abbot	'æ.bət
abbott	'æ.bət
abbott's	'æ.bəts
abboud	ə.'buːd
abbreviate	ə.'briː.viː.`eɪt
abbreviated	ə.'briː.viː.`eɪ.təd
abbreviates	ə.'briː.viː.`eɪts
abbreviating	ə.'briː.viː.`eɪ.tɪŋ
abbreviation	ə.`briː.viː.'eɪ.ʃən
abbreviations	ə.`briː.viː.'eɪ.ʃənz
abbruzzese	ɑ.bruːt.'seɪ.ziː
abbs	'æbz
abby	'æ.biː
abco	'æb.koʊ
abcotek	'æb.koʊ.`tɛk
abdalla	`æb.'dæ.lə
abdallah	`æb.'dæ.lə
abdel	'æb.`dɛl
abdella	`æb.'dɛ.lə
abdicate	'æb.də.`keɪt
abdicated	'æb.də.`keɪ.təd
abdicates	'æb.də.`keɪts
abdicating	'æb.dɪ.`keɪ.tɪŋ
abdication	`æb.dɪ.'keɪ.ʃən
abdnor	'æbd.nɛː
abdo	'æb.doʊ
abdollah	`æb.'dɑ.lə
abdomen	æb.'doʊ.mən
abdomen	'æb.də.mən
abdominal	æb.'dɑ.mə.nəl
abduct	æb.'dʌkt
abducted	æb.'dək.tɪd
abductee	æb.`dək.'tiː
abductees	æb.`dək.'tiːz
abducting	æb.'dək.tɪŋ
abduction	æb.'dək.ʃən
abductions	æb.'dək.ʃənz
abductor	æb.'dək.tɛː
abductors	æb.'dək.tɛːz
abducts	æb.'dʌkts
abdul	æb.'duːl
abdulaziz	æb.`duː.lə.'ziːz
abdulla	ɑb.'duː.lə
abdullah	`æb.'də.lə
abe	'eɪb
abed	ə.'bɛd
abedi	ə.'bɛ.diː
abee	ə.'biː
abel	'eɪ.bəl
abela	ɑ.'bɛ.lə
abelard	'æ.bɪ.lɛːd
abele	ə.'biːl
abeles	ə.'biːlz
abeles	'eɪ.bə.`liːz
abell	'eɪ.bəl
abella	ə.'bɛ.lə
abeln	'æ.bɪln
abelow	'æ.bə.loʊ
abels	'eɪ.bəlz
abelson	'æ.bɪl.sən
abend	'æ.bɛnd
abend	ə.'bɛnd
abendroth	'æ.bɪn.drɔːθ
aber	'eɪ.bɛː
abercrombie	`æ.bɛː.'krɑm.biː
aberdeen	'æ.bɛː.`diːn
aberford	'eɪ.bɛː.fɛːd
aberg	'æ.bɛːg
aberle	'æ.bɛː.əl
aberle	'æ.bɛːl
abermin	'æ.bɛː.mɪn
abernathy	'æ.bɛː.`næ.θiː
abernethy	'æ.bɛː.`nɛ.θiː
aberrant	æ.'bɛ.rənt
aberration	`æ.bɛː.'eɪ.ʃən
aberrational	`æ.bɛː.'eɪ.ʃə.nəl
aberrations	`æ.bɛː.'eɪ.ʃənz
abert	'æ.bɛːt
abet	ə.'bɛt
abetted	ə.'bɛ.tɪd
abetting	ə.'bɛ.tɪŋ
abex	'eɪ.bɛks
abeyance	ə.'beɪ.əns
abeyta	ɑ.'beɪ.tʌ
abhor	æb.'hɔːr
abhorred	əb.'hɔːrd
abhorrence	əb.'hɔː.rəns
abhorrent	æb.'hɔː.rənt
abhors	əb.'hɔːrz
abid	'eɪ.bɪd
abide	ə.'baɪd
abided	ə.'baɪ.dɪd
abides	ə.'baɪdz
abiding	ə.'baɪ.dɪŋ
abie	'æ.biː
abigail	'æ.bə.`geɪl
abila	ɑ.'biː.lə
abilene	'æ.bɪ.`liːn
abilities	ə.'bɪ.lə.tiːz
ability	ə.'bɪ.lə.tiː
abington	'æ.bɪŋ.tən
abio	'ɑ.biː.oʊ
abiola	`ɑ.biː.'oʊ.lə
abiola's	`ɑ.biː.'oʊ.ləz
abiomed	eɪ.'biː.ə.mɛd
abitibi	`æ.bɪ.'tiː.biː
abitz	'æ.bɪts
abject	'æb.ʤɛkt
ablaze	ə.'bleɪz
able	'eɪ.bəl
abled	'eɪ.bəld
abler	'eɪ.bə.lɛː
abler	'eɪ.blɛː
ables	'eɪ.bəlz
ablest	'eɪ.bəlst
abloom	ə.'bluːm
ably	'eɪ.bliː
abner	'æb.nɛː
abney	'æb.niː
abnormal	æb.'nɔːr.məl
abnormalities	`æb.nɔːr.'mæ.lə.tiːz
abnormality	`æb.nɔːr.'mæ.lə.tiː
abnormally	æb.'nɔːr.mə.liː
abo	'ɑ.boʊ
abo's	'ɑ.boʊz
aboard	ə.'bɔːrd
abode	ə.'boʊd
abolish	ə.'bɑ.lɪʃ
