text_line	strength.w=>-p	stress.s=>-u	stress.w=>-p	footmin-none	footmin-no-s-unless-preceded-by-ww	posthoc-no-final-ww	posthoc-standardize-weakpos	strength.s=>-u
en.yeats.early_line000157_old|SI|lence|BIDS|its|CHO|sen|RACE|re|JOICE	0	0	2.0	0	0	0	0.0	0
en.yeats.early_line000205_BE|ing|WE|ary|OF|the.world's|EM|pires|BOW|down|TO|you	0	4.0	2.0	1.0	0	0	1.0	0
en.yeats.early_line000105_of.the|CALVES|on.the|WARM|hill|SIDE	3.0	0	2.0	2.0	0	0	1.0	0
en.yeats.early_line000259_and|AF|ter|RUN|ning|AT|the|BRIM	0	0	0	0	0	0	0.0	0
en.yeats.early_line000240_the|UN|av|AI|ling.out|CRIES|and.the|OLD.BIT|ter|NESS	3.0	2.0	2.0	3.0	0	0	2.0	0
en.yeats.early_line000208_of.this|DES|o.late|LAKE	0	0	0	2.0	0	0	0.0	0
en.yeats.early_line000081_AND|is|ANX|ious|IN|its|SLEEP	0	2.0	0	0	0	0	0.0	0
en.yeats.early_line000235_with|H|ere|IS|the|FI|dd|LER|of|DO|oney	0	4.0	0	0	0	0	0.0	0
en.yeats.early_line000106_OR|the|KET|tle|ON|the|HOB	0	4.0	0	0	0	0	0.0	0
en.yeats.early_line000035_go|GATH|er|BY|the|HUM|ming|SEA	0	2.0	2.0	0	0	0	0.0	0
en.yeats.early_line000238_MAKE|their.faint|THUN|der|AND|the|GAR|den|BEES	0	2.0	2.0	1.0	0	0	1.0	0
en.yeats.early_line000043_for|WORDS|al|ONE|are|CER|tain|GOOD	0	0	0	0	0	0	0.0	0
en.yeats.early_line000198_BROOD|her.high|LONE|ly|MYS|ter|IES	0	2.0	2.0	1.0	0	0	1.0	0
en.yeats.early_line000207_i|WAN|der|BY|the|EDGE	0	2.0	0	0	0	0	0.0	0
en.yeats.early_line000040_thy|FRET|ful|WORDS|a|LIT|tle|WHILE	0	0	0	0	0	0	0.0	0
en.yeats.early_line000108_or|SEE|the|BROWN|mice|BOB	0	0	2.0	0	0	0	0.0	0
en.yeats.early_line000085_FOR|the|WORLD'S|more|FULL|of|WEEP|ing|THAN|you|CAN	0	6.0	0	0	0	0	0.0	0
en.yeats.early_line000194_for|HOURS|when|ALL|must|FADE|like|DEW	0	0	0	0	0	0	0.0	0
en.yeats.early_line000135_where|PEO|ple|LOVE|be|SIDE|the|RAV|elled|SEAS	0	0	0	0	0	0	0.0	0
en.yeats.early_line000007_of|ALL|the|MA|ny|CHANG|ing|THINGS	0	0	0	0	0	0	0.0	0
en.yeats.early_line000015_by.the|STAM|mer.ing|SCHOOL.BOY|said	0	0	2.0	3.0	0	0	1.0	0
en.yeats.early_line000083_TO|the|WA|ters|AND|the|WILD	0	4.0	0	0	0	0	0.0	0
en.yeats.early_line000220_my|BROTH|er.in|MO|ch|AR|ab|UIEE	0	0	0	1.0	0	0	1.0	0
en.yeats.early_line000093_GIVE|them.un|QUI|et|DREAMS	0	0	0	1.0	0	0	1.0	0
en.yeats.early_line000116_the|BRIL|liant|MOON|and|ALL|the|MIL|ky|SKY	0	0	0	0	0	0	0.0	0
en.yeats.early_line000046_where|DA|ff|ODIL|and|LI|ly|WAVE	0	0	0	0	0	0	0.0	0
en.yeats.early_line000191_a|MORE|dream|HE|avy|HOUR|than|THIS	0	2.0	2.0	0	0	0	0.0	0
en.yeats.early_line000155_but.one|SMALL.KNOT|grass|GROW|ing|BY|the|POOL	0	2.0	2.0	2.0	0	0	1.0	0
en.yeats.early_line000070_UN|der|STAND	0	0	0	0	0	0	0	0
en.yeats.early_line000231_AND|the|MER|ry|LOVE|the|FID|dle	0	2.0	0	0	0	0	0.0	0
en.yeats.early_line000242_TA|ra.up|ROOT|ed.and|NEW.COM|mon.ness	0	0	0	4.0	0	1.0	0.0	0
en.yeats.early_line000052_WALK|ing|GHOST|ly|IN|the|DEW	0	0	0	0	0	0	0.0	0
en.yeats.early_line000102_aw|AY|with|US|he's|GO|ing	0	2.0	0	0	0	0	0.0	0
en.yeats.early_line000225_WHEN|we|COME|at.the|END|of|TIME	0	0	0	1.0	0	0	1.0	0
en.yeats.early_line000100_FOR|to|WORLD'S|more|FULL|of|WEEP|ing|THAN|you|CAN	0	6.0	0	0	0	0	0.0	0
en.yeats.early_line000073_FAR|off.by|FUR|thest|ROSS|es	0	0	0	1.0	0	0	1.0	0
en.yeats.early_line000010_WORDS|al|ONE|are|CER|tain|GOOD	0	0	0	0	0	0	0.0	0
en.yeats.early_line000267_CRY|ing.am|ID|the|GLIT|ter.ing|SEA	0	0	0	2.0	0	0	1.0	0
en.yeats.early_line000252_the.butt|END|of.a|STEER|ing|OAR	0	0	0	2.0	0	0	1.0	0
en.yeats.early_line000075_WEAV|ing|OLD|en|DAN|ces	0	0	0	0	0	0	0.0	0
en.yeats.early_line000261_it|HAD|such|DIG|ni|TY|of|LIMB	0	2.0	0	0	0	0	0.0	0
en.yeats.early_line000095_from|FERNS|that|DROP|their|TEARS	0	0	0	0	0	0	0.0	0
en.yeats.early_line000112_WITH|a|FA|ery|HAND|in|HAND	0	2.0	0	0	0	0	0.0	0
en.yeats.early_line000214_and.the|GIR|dle.of|LIGHT|is.un|BOUND	0	0	0	3.0	0	0	0.0	0
en.yeats.early_line000076_MI|ng.ling|HANDS|and|MI|ng.ling|GLA|nces	0	0	0	2.0	0	0	2.0	0
en.yeats.early_line000193_i|HEAR|white|BEAU|ty|SIGH|ing|TOO	0	0	2.0	0	0	0	0.0	0
en.yeats.early_line000011_WHERE|are|NOW|the|WAR|ring|KINGS	0	0	0	0	0	0	0.0	0
en.yeats.early_line000132_it|SEEMED|they|RAISED|their|LIT|tle|SIL|ver|HEADS	0	0	0	0	0	0	0.0	0
en.yeats.early_line000270_by.the|SWEET.NAME|of|DEATH	0	0	0	2.0	0	0	1.0	0
en.yeats.early_line000049_with|MIRTH|ful|SONGS|be|FORE|the|DAWN	0	0	0	0	0	0	0.0	0
en.yeats.early_line000167_did|NOT|the|WORMS|that|SP|ired.ab|OUT|his|BONES	0	0	0	1.0	0	0	1.0	0
en.yeats.early_line000210_un|TIL|the|AX|le|BREAK	0	0	0	0	0	0	0.0	0
en.yeats.early_line000149_it|SEEMED|the|SUN|and|MOON|were|IN|the|FRUIT	0	0	0	0	0	0	0.0	0
en.yeats.early_line000065_AND|of|RED|dest|STO|len|CHER|ries	0	2.0	0	0	0	0	0.0	0
en.yeats.early_line000145_SANG|that.some|WHERE|to|NORTH|or|WEST|or|SOUTH	3.0	0	2.0	1.0	0	0	1.0	0
en.yeats.early_line000063_THERE|we've|HID|our|FA|ery|VATS	0	2.0	0	0	0	0	0.0	0
en.yeats.early_line000221_i|PASSED|my|BROTH|er.and|CO|usin	0	0	0	1.0	0	0	1.0	0
