"Line Scheme","Meter Scheme","PoemID","Poet","Title","Year","constraint_SUM_VIOL","constraint_footmin-f-resolution","constraint_footmin-w-resolution","constraint_strength.w=>-p","constraint_stress.s=>-u","constraint_stress.w=>-p","line","line_is_in_nonbounded_parses","line_iscorrect","line_iscorrect_dummy","line_iscorrect_dummy_iambic","line_iscorrect_human2","line_num","meter_info","num_sylls","num_sylls_correct","num_sylls_correct_control","num_sylls_correct_control_iambic","num_sylls_correct_human2","parse","parse_comp","parse_human","parse_human2","parse_str_compu","parse_str_human","parse_str_stress","parses_comp_nonbounded","perc_sylls_correct","perc_sylls_correct_control","perc_sylls_correct_control_iambic","perc_sylls_correct_human2","prosody_ipa","prosody_stress"
"trimeter","anapestic","Z200323132","William Cowper","Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez",1782,0,0,0,0,0,0,"I am monarch of all I survey,",0,0,1,0,1,"(1, 1)","None",9,5,9,4,9,"wwswwswws","swsswwsws","wwswwswws","wwswwswws","I  am  MON  ARCH  of  all  I  sur  VEY","i  am  MON  arch  of  ALL  i  sur  VEY","I  am  MON  ARCH  of  all  I  sur  VEY","swsswwsws | wwsswwsws",0.555555555556,1,0.444444444444,1,"`aɪ æm `mɑ.'nɑrk ʌv ɔːl `aɪ sɛː.`veɪ","P U PS U U P UP"
"trimeter","anapestic","Z200323132","William Cowper","Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez",1782,1,1,0,0,0,0,"My right there is none to dispute,",1,1,0,0,1,"(2, 1)","None",8,8,3,5,8,"wswwswws","wswwswws","wswwswws","wswwswws","my  RIGHT  there  is  NONE  to  dis  PUTE","my  RIGHT  there  is  NONE  to  dis  PUTE","my  RIGHT  there  is  NONE  to  dis  PUTE","wswwswws | wswswsws | wswwswss",1,0.375,0.625,1,"maɪ `raɪt ðɛr ɪz `nən tuː dɪ.`spjuːt","U P U U P U UP"
"trimeter","anapestic","Z200323132","William Cowper","Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez",1782,1,1,0,0,0,0,"From the centre all round to the sea,",1,0,1,0,1,"(3, 1)","None",9,8,9,4,9,"wwswwswws","wwswsswws","wwswwswws","wwswwswws","from  the  CEN  tre  ALL  ROUND  to  the  SEA","from  the  CEN  tre  all  ROUND  to  the  SEA","from  the  CEN  tre  ALL  ROUND  to  the  SEA","wwswsswws | wwswswsws | wwswwswws",0.888888888889,1,0.444444444444,1,"frʌm ðə `sɛn.tɛː `ɔːl `raʊnd tuː ðə `siː","U U PU P P U U P"
"trimeter","anapestic","Z200323132","William Cowper","Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez",1782,0,0,0,0,0,0,"I am lord of the fowl and the brute.",1,0,1,0,1,"(4, 1)","None",9,8,9,4,9,"wwswwswws","swswwswws","wwswwswws","wwswwswws","I  am  LORD  of  the  FOWL  and  the  BRUTE","i  am  LORD  of  the  FOWL  and  the  BRUTE","I  am  LORD  of  the  FOWL  and  the  BRUTE","swswwswws | wwswwswws",0.888888888889,1,0.444444444444,1,"`aɪ æm `lɔːrd ʌv ðə `faʊl ænd ðə `bruːt","P U P U U P U U P"
"trimeter","anapestic","Z200323132","William Cowper","Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez",1782,1,1,0,0,0,0,"O solitude! where are the charms",1,0,0,0,1,"(5, 1)","None",8,7,3,5,8,"wswwswws","wswsswws","wswwswws","wswwswws","o  SO  li  TUDE  WHERE  are  the  CHARMS","o  SO  li  tude  WHERE  are  the  CHARMS","o  SO  li  TUDE  WHERE  are  the  CHARMS","wswsswws | wswswsws | wswwswws",0.875,0.375,0.625,1,"oʊ `sɑ.lə.'tuːd `wɛr ɑr ðə `ʧɑrmz","U PUS P U U P"
"trimeter","anapestic","Z200323132","William Cowper","Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez",1782,1,1,0,0,0,0,"That sages have seen in thy face?",1,0,0,0,1,"(6, 1)","None",8,7,3,5,8,"wswwswws","wswsswws","wswwswws","wswwswws","that  SAG  es  HAVE  SEEN  in  thy  FACE","that  SAG  es  have  SEEN  in  thy  FACE","that  SAG  es  HAVE  SEEN  in  thy  FACE","wswsswws | wswswsws | wswwswws | wsswswws",0.875,0.375,0.625,1,"ðət `seɪ.ʤɪz `hæv `siːn ɪn ðaɪ `feɪs","U PU P P U U P"
"trimeter","anapestic","Z200323132","William Cowper","Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez",1782,1,1,0,0,0,0,"Better dwell in the midst of alarms,",1,1,0,0,0,"(7, 1)","None",9,9,8,3,8,"swswwswws","swswwswws","swswwswws","wwswwswws","BET  ter  DWELL  in  the  MIDST  of  ala  RMS","BET  ter  DWELL  in  the  MIDST  of  ala  RMS","BET  ter  DWELL  in  the  MIDST  of  ala  RMS","swswwswws | swswwswss | swswswsws | swswwswsw",1,0.888888888889,0.333333333333,0.888888888889,"`bɛ.tɛː `dwɛl ɪn ðə `mɪdst ʌv ə.`lɑrmz","PU P U U P U UP"
"trimeter","anapestic","Z200323132","William Cowper","Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez",1782,1,0,1,0,0,0,"Than reign in this horrible place.",1,1,0,0,1,"(8, 1)","None",8,8,3,5,8,"wswwswws","wswwswws","wswwswws","wswwswws","than  REIGN  in  this  HOR  ri  ble  PLACE","than  REIGN  in  this  HOR  ri  ble  PLACE","than  REIGN  in  this  HOR  ri  ble  PLACE","wswwswws | wswwswsw | wswwswss",1,0.375,0.625,1,"ðæn `reɪn ɪn ðɪs `hɔː.rə.bəl `pleɪs","U P U U PUU P"
"trimeter","anapestic","Z200323132","William Cowper","Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez",1782,2,0,1,0,1,0,"I am out of humanity's reach,",0,0,1,0,1,"(9, 2)","None",9,6,9,4,9,"wwswwswws","swwswswws","wwswwswws","wwswwswws","I  am  out  OF  hu  MAN  i  ty's  REACH","i  am  OUT  of  hu  MAN  i  ty's  REACH","I  am  out  of  hu  MAN  i  ty's  REACH","swwswswws | swwswssws",0.666666666667,1,0.444444444444,1,"`aɪ æm aʊt ʌv hjuː.`mæ.nɪ.tiːz `riːʧ","P U U U UPUU P"
"trimeter","anapestic","Z200323132","William Cowper","Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez",1782,2,2,0,0,0,0,"I must finish my journey alone,",1,0,1,0,1,"(10, 2)","None",9,8,9,4,9,"wwswwswws","swswwswws","wwswwswws","wwswwswws","I  must  FIN  ish  my  JOUR  ney  al  ONE","i  must  FIN  ish  my  JOUR  ney  al  ONE","I  must  FIN  ish  my  JOUR  ney  al  ONE","swswwswws | swsswswws | wwswwswws | wwsswswws | swsswswss | swsswssws | wwsswswss | wwsswssws | swswswsws | swsswswsw | wwswswsws | wwsswswsw",0.888888888889,1,0.444444444444,1,"`aɪ məst `fɪ.nɪʃ maɪ `ʤɛː.niː ə.`loʊn","P U PU U PU UP"
