"Line Scheme","Meter Scheme","PoemID","Poet","Title","Year","constraint_SUM_VIOL","constraint_footmin-f-resolution","constraint_footmin-w-resolution","constraint_strength.w=>-p","constraint_stress.s=>-u","constraint_stress.w=>-p","line","line_is_in_nonbounded_parses","line_iscorrect","line_iscorrect_dummy","line_iscorrect_dummy_iambic","line_iscorrect_human2","line_num","meter_info","num_sylls","num_sylls_correct","num_sylls_correct_control","num_sylls_correct_control_iambic","num_sylls_correct_human2","parse","parse_comp","parse_human","parse_human2","parse_str_compu","parse_str_human","parse_str_stress","parses_comp_nonbounded","perc_sylls_correct","perc_sylls_correct_control","perc_sylls_correct_control_iambic","perc_sylls_correct_human2","prosody_ipa","prosody_stress"
"trimeter","anapestic","Z200323132","William Cowper","Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez",1782,0,0,0,0,0,0,"I am monarch of all I survey,",0,0,1,0,1,"(1, 1)","None",9,5,9,4,9,"wwswwswws","swsswwsws","wwswwswws","wwswwswws","I  am  MON  ARCH  of  all  I  sur  VEY","i  am  MON  arch  of  ALL  i  sur  VEY","I  am  MON  ARCH  of  all  I  sur  VEY","swsswwsws | wwsswwsws",0.555555555556,1,0.444444444444,1,"`aɪ æm `mɑ.'nɑrk ʌv ɔːl `aɪ sɛː.`veɪ","P U PS U U P UP"
"trimeter","anapestic","Z200323132","William Cowper","Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez",1782,2,0,0,0,1,1,"My right there is none to dispute,",1,0,0,0,1,"(2, 1)","None",8,5,3,5,8,"wswwswws","wswswsws","wswwswws","wswwswws","my  RIGHT  there  IS  none  TO  dis  PUTE","my  RIGHT  there  is  NONE  to  dis  PUTE","my  RIGHT  there  IS  NONE  to  dis  PUTE","wswswsws | wswwswws | wswwswss",0.625,0.375,0.625,1,"maɪ `raɪt ðɛr `ɪz `nən tuː dɪ.`spjuːt","U P U P P U UP"
"trimeter","anapestic","Z200323132","William Cowper","Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez",1782,1,0,0,0,1,0,"From the centre all round to the sea,",1,0,1,0,1,"(3, 1)","None",9,6,9,4,9,"wwswwswws","wwswswsws","wwswwswws","wwswwswws","from  the  CEN  tre  ALL  round  TO  the  SEA","from  the  CEN  tre  all  ROUND  to  the  SEA","from  the  CEN  tre  ALL  round  to  the  SEA","wwswswsws | wwswsswws | wwswwswws",0.666666666667,1,0.444444444444,1,"frʌm ðə `sɛn.tɛː `ɔːl raʊnd tuː ðə `siː","U U PU P U U U P"
"trimeter","anapestic","Z200323132","William Cowper","Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez",1782,0,0,0,0,0,0,"I am lord of the fowl and the brute.",1,0,1,0,1,"(4, 1)","None",9,8,9,4,9,"wwswwswws","swswwswws","wwswwswws","wwswwswws","I  am  LORD  of  the  FOWL  and  the  BRUTE","i  am  LORD  of  the  FOWL  and  the  BRUTE","I  am  LORD  of  the  FOWL  and  the  BRUTE","swswwswws | wwswwswws",0.888888888889,1,0.444444444444,1,"`aɪ æm `lɔːrd ʌv ðə `faʊl ænd ðə `bruːt","P U P U U P U U P"
"trimeter","anapestic","Z200323132","William Cowper","Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez",1782,1,0,0,0,1,0,"O solitude! where are the charms",1,0,0,0,1,"(5, 1)","None",8,5,3,5,8,"wswwswws","wswswsws","wswwswws","wswwswws","o  SO  li  TUDE  where  ARE  the  CHARMS","o  SO  li  tude  WHERE  are  the  CHARMS","o  SO  li  TUDE  where  are  the  CHARMS","wswswsws | wswsswws | wswwswws",0.625,0.375,0.625,1,"oʊ `sɑ.lə.'tuːd wɛr ɑr ðə `ʧɑrmz","U PUS U U U P"
"trimeter","anapestic","Z200323132","William Cowper","Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez",1782,1,0,0,0,0,1,"That sages have seen in thy face?",1,0,0,0,1,"(6, 1)","None",8,5,3,5,8,"wswwswws","wswswsws","wswwswws","wswwswws","that  SAG  es  HAVE  seen  IN  thy  FACE","that  SAG  es  have  SEEN  in  thy  FACE","that  SAG  es  HAVE  SEEN  IN  thy  FACE","wswswsws | wswsswws | wswwswws | wsswswws",0.625,0.375,0.625,1,"ðət `seɪ.ʤɪz `hæv `siːn `ɪn ðaɪ `feɪs","U PU P P P U P"
"trimeter","anapestic","Z200323132","William Cowper","Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez",1782,3,0,0,0,2,1,"Better dwell in the midst of alarms,",1,0,0,0,0,"(7, 1)","None",9,6,8,3,8,"swswwswws","swswswsws","swswwswws","wwswwswws","BET  ter  DWELL  in  THE  midst  OF  ala  RMS","BET  ter  DWELL  in  the  MIDST  of  ala  RMS","BET  ter  DWELL  in  the  MIDST  of  ala  RMS","swswswsws | swswwswws | swswwswss | swswwswsw",0.666666666667,0.888888888889,0.333333333333,0.888888888889,"`bɛ.tɛː `dwɛl ɪn ðə `mɪdst ʌv ə.`lɑrmz","PU P U U P U UP"
"trimeter","anapestic","Z200323132","William Cowper","Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez",1782,2,0,0,0,1,1,"Than reign in this horrible place.",1,0,0,0,1,"(8, 1)","None",8,6,3,5,8,"wswwswws","wswwswsw","wswwswws","wswwswws","than  REIGN  in  this  HOR  ri  BLE  place","than  REIGN  in  this  HOR  ri  ble  PLACE","than  REIGN  in  this  HOR  ri  ble  PLACE","wswwswsw | wswwswws | wswwswss",0.75,0.375,0.625,1,"ðæn `reɪn ɪn ðɪs `hɔː.rə.bəl `pleɪs","U P U U PUU P"
"trimeter","anapestic","Z200323132","William Cowper","Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez",1782,2,0,0,0,1,1,"I am out of humanity's reach,",0,0,0,0,1,"(9, 2)","None",9,3,6,3,9,"wwswwswws","swswsw","wwswwswws","wwswwswws","I  am  OUT  of  HUMANITY'S  reach","i  am  OUT  of  humanity's  REACH","I  am  out  of  HUMANITY'S  REACH","swswsw | swwsws | wswwsw | wwswsw | swswss | wswwss | wwswss",0.333333333333,0.666666666667,0.333333333333,1,"`aɪ æm aʊt ʌv `hjmʉːæɪɪææɛntbkslʃs `riːʧ","P U U U P P"
"trimeter","anapestic","Z200323132","William Cowper","Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez",1782,6,5,0,0,1,0,"I must finish my journey alone,",1,0,1,0,1,"(10, 2)","None",9,7,9,4,9,"wwswwswws","swsswswws","wwswwswws","wwswwswws","I  must  FIN  ISH  my  JOUR  ney  al  ONE","i  must  FIN  ish  my  JOUR  ney  al  ONE","I  must  FIN  ish  my  JOUR  ney  al  ONE","swsswswws | wwsswswws | swsswswss | swsswssws | wwsswswss | wwsswssws | swswwswws | wwswwswws | swswswsws | swsswswsw | wwswswsws | wwsswswsw",0.777777777778,1,0.444444444444,1,"`aɪ məst `fɪ.nɪʃ maɪ `ʤɛː.niː ə.`loʊn","P U PU U PU UP"
"trimeter","anapestic","Z200323132","William Cowper","Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez",1782,6,0,0,0,3,3,"Never hear the sweet music of speech,",0,0,1,0,1,"(11, 2)","None",9,3,9,4,9,"wwswwswws","sswswswsw","wwswwswws","wwswwswws","NEV  ER  hear  THE  sweet  MU  sic  OF  speech","nev  er  HEAR  the  sweet  MU  sic  of  SPEECH","NEV  er  HEAR  the  SWEET  MU  sic  of  SPEECH","sswswswsw | swswsswsw | sswswswws | swswsswws | sswswssws | swswswsws",0.333333333333,1,0.444444444444,1,"`nɛ.vɛː `hɪr ðə `swiːt `mjuː.zɪk ʌv `spiːʧ","PU P U P PU U P"
"trimeter","anapestic","Z200323132","William Cowper","Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez",1782,0,0,0,0,0,0,"I start at the sound of my own.",1,1,0,0,1,"(12, 2)","None",8,8,3,5,8,"wswwswws","wswwswws","wswwswws","wswwswws","i  START  at  the  SOUND  of  my  OWN","i  START  at  the  SOUND  of  my  OWN","i  START  at  the  SOUND  of  my  OWN","wswwswws",1,0.375,0.625,1,"aɪ `stɑrt æt ðə `saʊnd ʌv maɪ `oʊn","U P U U P U U P"
"trimeter","anapestic","Z200323132","William Cowper","Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez",1782,5,0,0,0,2,3,"The beasts that roam over the plain",0,0,0,0,1,"(13, 2)","None",8,3,3,5,8,"wswwswws","swswswsw","wswwswws","wswwswws","THE  beasts  THAT  roam  OV  er  THE  plain","the  BEASTS  that  roam  OV  er  the  PLAIN","the  BEASTS  THAT  ROAM  OV  er  the  PLAIN","swswswsw | wswsswsw | swswssws | wswsswws | wswswsws",0.375,0.375,0.625,1,"ðə `biːsts `ðæt `roʊm `oʊ.vɛː ðə `pleɪn","U P P P PU U P"
"trimeter","anapestic","Z200323132","William Cowper","Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez",1782,3,0,0,0,2,1,"My form with indifference see,",0,0,0,0,1,"(14, 2)","None",8,3,3,4,8,"wswwswws","swswsws","wswwswws","wswwswws","MY  form  WITH  ind  IFF  erence  SEE","my  FORM  with  ind  IFF  erence  see","my  FORM  with  ind  IFF  erence  SEE","swswsws | wswwsws | wswssws | wswswws",0.375,0.375,0.5,1,"maɪ `fɔːrm wɪð ɪn.`dɪ.frəns `siː","U P U UPU P"
"trimeter","anapestic","Z200323132","William Cowper","Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez",1782,0,0,0,0,0,0,"They are so unacquainted with man,",0,0,0,0,1,"(15, 2)","None",9,3,6,3,9,"wwswwswws","swwsws","wwswwswws","wwswwswws","THEY  are  so  UNACQUAINTED  with  MAN","they  are  SO  unacquainted  with  MAN","THEY  are  so  UNACQUAINTED  with  MAN","swwsws",0.333333333333,0.666666666667,0.333333333333,1,"`ðeɪ ɑr soʊ `nʌʌeɪɪkwntd wɪð `mæn","P U U P U P"
"trimeter","anapestic","Z200323132","William Cowper","Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez",1782,1,0,0,0,1,0,"Their tameness is shocking to me.",0,0,0,0,0,"(16, 2)","None",8,4,3,4,3,"wswwswws","wswswsw","wswwswws","wwswwswws","their  TAMENESS  is  SHOCK  ing  TO  me","their  TAMENESS  is  shock  ING  to  me","their  TAMENESS  is  SHOCK  ing  to  me","wswswsw | wswssww",0.5,0.375,0.5,0.375,"ðɛr `teɪʌmns ɪz `ʃɑ.kɪŋ tuː miː","U P U PU U U"
"trimeter","anapestic","Z200323132","William Cowper","Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez",1782,7,0,5,0,1,1,"Society, friendship, and love,",0,0,0,0,0,"(17, 3)","None",7,3,2,3,2,"swwswws","wswwswsw","swwswws","wswwswws","so  CI  et  y  FRIEND  ship  AND  love","SO  ci  et  Y  friend  ship  AND","so  CI  et  y  FRIEND  ship  and  LOVE","wswwswsw | wswsswsw | wswwswws | wswsswws | wswwssws | wswswsws",0.428571428571,0.285714285714,0.428571428571,0.285714285714,"sə.`saɪ.ə.tiː `frɛnd.ʃɪp ænd `lʌv","UPUU PU U P"
"trimeter","anapestic","Z200323132","William Cowper","Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez",1782,6,5,0,0,0,1,"Divinely bestow'd upon man,",0,0,0,0,1,"(18, 3)","None",8,6,3,5,8,"wswwswws","wswwswsw","wswwswws","wswwswws","di  VINE  ly  be  STOW'D  up  ON  man","di  VINE  ly  be  STOW'D  up  on  MAN","di  VINE  ly  be  STOW'D  up  ON  MAN","wswwswsw | wswsswsw | wsswswsw | wswwswss | wswsswss | wsswswss | swswswsw | swswswss",0.75,0.375,0.625,1,"dɪ.`vaɪn.liː bɪ.`stoʊd ə.`pɑn `mæn","UPU UP UP P"
"trimeter","anapestic","Z200323132","William Cowper","Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez",1782,0,0,0,0,0,0,"Oh had I the wings of a dove,",0,0,0,0,1,"(19, 3)","None",8,5,3,5,8,"wswwswws","swswswws","wswwswws","wswwswws","OH  had  I  the  WINGS  of  a  DOVE","oh  HAD  i  the  WINGS  of  a  DOVE","OH  had  I  the  WINGS  of  a  DOVE","swswswws",0.625,0.375,0.625,1,"`oʊ hæd `aɪ ðə `wɪŋz ʌv eɪ `dəv","P U P U P U U P"
"trimeter","anapestic","Z200323132","William Cowper","Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez",1782,2,0,0,0,1,1,"How soon would I taste you again!",1,0,0,0,1,"(20, 3)","None",8,5,3,5,8,"wswwswws","wswswsws","wswwswws","wswwswws","how  SOON  would  I  taste  YOU  ag  AIN","how  SOON  would  i  TASTE  you  ag  AIN","how  SOON  would  I  TASTE  you  ag  AIN","wswswsws | wswwswws | wswwswss",0.625,0.375,0.625,1,"haʊ `suːn wʊd `aɪ `teɪst juː ə.`gɛn","U P U P P U UP"
