text_line	strength.s=>-u	strength.w=>-p	stress.s=>-u	stress.w=>-p
en.yeats.early_line000222_my|CO|usin.is|PRIEST|in|KIL|var.net	0	0	0	0
en.yeats.early_line000055_pierced|BY|my.glad|SI|nging|THROUGH	0	0	0	2
en.yeats.early_line000198_but|FLAME|on|FLAME|and|DEEP|on|DEEP	0	0	0	0
en.yeats.early_line000177_the|MAN|has|FOUND|no|COM|fort|IN|the|GRAVE	0	0	0	1
en.yeats.early_line000237_they|WILL|all|COME|up.to|ME	0	0	0	0
en.yeats.early_line000107_of.the|CALVES|on.the|WARM|hil|LSIDE	0	1	0	1
en.yeats.early_line000270_CRIED|out.the|WHOLE|night|LONG	0	0	0	1
en.yeats.early_line000185_THAT|has|MADE|fat.the|MU|rd.erous|MOTH	0	0	0	1
en.yeats.early_line000038_some|TWI|sted|EC|ho|-H|ar.bouring|SHELL	0	0	0	0
en.yeats.early_line000186_the|ROS|es|THAT|of|OLD|time.were	0	0	0	1
en.yeats.early_line000011_WHERE|are|NOW|the|WAR|ring|KINGS	0	0	0	0
en.yeats.early_line000125_ar|OSE|and|ON|the|INS|tant|CL|am.orous|EAVES	0	0	0	0
en.yeats.early_line000193_COME|from|A|more.dr|EA|m-heavy|LAND	0	0	0	1
en.yeats.early_line000100_to.to|WAT|ers|AND|the|WILD	0	0	1	0
en.yeats.early_line000138_that|TIME|can|NE|ver|MAR|a|LOV|er's|VOWS	0	0	0	0
en.yeats.early_line000001_the|WOODS|of|AR|ca|DY|are|DEAD	0	0	1	0
en.yeats.early_line000009_to.the|CRACKED|tune.that|CHR|onos|SINGS	0	0	0	1
en.yeats.early_line000137_where|PEO|ple|LOVE|bes|IDE|the|RAV|elled|SEAS	0	0	0	0
en.yeats.early_line000226_i|READ|in.my|BOOK|of|SONGS	0	0	0	0
en.yeats.early_line000095_GIVE|them.un|QU|iet|DREAMS	0	0	0	0
en.yeats.early_line000037_go|GA|ther|BY|the|HU|mming|SEA	0	0	0	1
en.yeats.early_line000223_my|BRO|ther.in|M|o|C|h|A|r.abuiee	0	0	2	0
en.yeats.early_line000089_WHERE|the|WA|nd.ering|WAT|er|GU|shes	0	0	0	0
en.yeats.early_line000135_and|SANG|what.gold|MOR|ning.or|EVE|ning|SHEDS	0	0	0	1
en.yeats.early_line000108_or.the|KE|ttle|ON|the|HOB	0	0	0	0
en.yeats.early_line000245_that|EMP|ty.the|HEART|i|HAVE|for|GOT|aw|HILE	0	0	0	0
en.yeats.early_line000093_we|SEEK|for|SLU|mbe.ring|TROUT	0	0	0	0
en.yeats.early_line000243_HUM|in.the|LIM|e-tree|FLO|wers.and|PUT|aw|AY	0	0	0	1
en.yeats.early_line000013_BY|the|ROOD	0	0	0	0
en.yeats.early_line000211_of.this|DE|so.late|LAKE	0	0	0	0
en.yeats.early_line000117_the|BRA|wling|OF|a|SPA|rrow|IN|the|EAVES	0	0	1	0
en.yeats.early_line000163_and.mid|NIGHT|there.enf|OLD|them|LIKE|a|FLEECE	0	1	0	1
en.yeats.early_line000248_and|HA|nging.its|PAP|er|FLO|wers|FROM|post.to|POST	0	0	0	0
en.yeats.early_line000126_a|CLI|mbing|MOON|up|ON|an|EMP|ty|SKY	0	0	0	0
en.yeats.early_line000122_and|SEEMED|the|GREA|tness|OF|the|WORLD|in|TEARS	0	0	1	0
en.yeats.early_line000130_his|HEART|hung|ALL|up|ON|a|SIL|ken|DRESS	0	0	0	1
en.yeats.early_line000212_WHERE|wind|CRIES|in.the|SEDGE	0	0	0	1
en.yeats.early_line000070_WITH|a|FA|ery|HAND|in|HAND	0	0	0	0
en.yeats.early_line000068_I{|come.aw|AY|o|HUM|an|CHILD	0	0	0	1
en.yeats.early_line000034_the|COLD|star|-BANE	0	0	0	1
en.yeats.early_line000170_did|NOT|the|WORMS|that|SPI|red.ab|OUT|his|BONES	0	0	0	0
en.yeats.early_line000271_CRY|ing.am|ID|the|GL|it.tering|SEA	0	0	0	0
en.yeats.early_line000232_FOR|the|GOOD|are|ALW|ays.the|ME|rry	0	0	0	0
en.yeats.early_line000099_I{|come.aw|AY|o|HUM|an|CHILD	0	0	0	1
en.yeats.early_line000101_WITH|a|FA|ery|HAND|in|HAND	0	0	0	0
en.yeats.early_line000160_old|SIL|ence|BIDS|its|CHO|sen|RACE|rej|OICE	0	0	0	1
en.yeats.early_line000065_there|WE'VE|hid.our|FA|ery|VATS	0	0	0	1
en.yeats.early_line000155_his|SU|dden|VEN|geance|WERE|a|COU|ntry|TALE	0	0	1	0
en.yeats.early_line000025_to|HUN|ger|FIE|rcely|AF|ter|TRUTH	0	0	0	0
en.yeats.early_line000240_and|DANCE|like.a|WAVE|of.the|SEA	0	0	0	0
en.yeats.early_line000167_and|MIGHT|have|KNOWN|at|LAST|unh|AUN|ted|SLEEP	0	0	0	0
en.yeats.early_line000176_DREAM|un|TIL|god.burn|NAT|ure|WITH|a|KISS	0	0	0	1
en.yeats.early_line000085_to.the|WAT|ers|AND|the|WILD	0	0	1	0
en.yeats.early_line000208_BE|ing|WE|ary|OF|the.world's|EMP|ires.bow|DOWN|to.you	0	0	1	2
en.yeats.early_line000102_FOR|to|WORLD'S|more|FULL|of|WEE|ping|THAN|you.can	0	0	0	0
en.yeats.early_line000007_of|ALL|the|MA|ny|CHA|nging|THINGS	0	0	0	0
en.yeats.early_line000004_GREY|truth.is|NOW|her|PAI|nted|TOY	0	0	0	1
en.yeats.early_line000076_we|FOOT|it|ALL|the|NIGHT	0	0	0	0
en.yeats.early_line000254_a|CLO|udy|QUI|ver|OV|er|PA|ir|C-NA-LEE	0	0	0	1
en.yeats.early_line000189_through|MA|ny.a|SAC|red|CO|rr.idor	0	0	0	0
en.yeats.early_line000083_and.is|ANX|ious|IN|its|SLEEP	0	0	0	0
en.yeats.early_line000194_A|more.dr|EA|m-heavy|HOUR|than|THIS	0	0	0	1
en.yeats.early_line000247_up|ON|the|THRONE|and|CRY|ing.ab|OUT|the|STREETS	0	0	0	0
en.yeats.early_line000005_yet|STILL|she|TURNS|her|RES|tless|HEAD	0	0	0	0
en.yeats.early_line000165_the.tale|DROVE|his.fine|ANG|ry|MOOD|aw|AY	0	0	0	2
en.yeats.early_line000204_and|THEN|the|CLASH|of|FA|llen|HORS|emen|AND|the|CRIES	0	0	1	0
en.yeats.early_line000103_UND|ers|TAND	0	0	0	0
en.yeats.early_line000261_WHAT|is.the|FIG|ure|IN|a|SHROUD	0	0	0	0
en.yeats.early_line000030_who|FO|llow|WITH|the|OP|tic|GLASS	0	0	0	0
en.yeats.early_line000230_he.will|SMILE|on.the|THREE|old|SPI|rits	0	0	0	1
en.yeats.early_line000064_the|DRO|wsy|WAT|er-|RATS	0	0	0	0
en.yeats.early_line000166_he.slept|UN|der.the|HILL|of|LU|gn.agall	0	0	0	1
en.yeats.early_line000229_to|PET|er|SI|tting.in|STATE	0	0	0	0
en.yeats.early_line000242_MAKE|their.faint|THU|nder|AND|the|GAR|den|BEES	0	0	1	1
en.yeats.early_line000127_and|ALL|that.la|ME|nt|ATION|of.the|LEAVES	0	0	1	0
en.yeats.early_line000153_he|MUSED|bes|IDE|the|WELL|of|SC|an.avin	0	0	0	0
en.yeats.early_line000139_UN|der.that|WOV|en|CHAN|geless|ROOF|of|BOUGHS	0	0	0	0
en.yeats.early_line000091_in|POOLS|am|ONG|the|RU|shes	0	0	0	0
en.yeats.early_line000267_though|I'D|my|FIN|ger|ON|my|LIP	0	0	0	0
en.yeats.early_line000111_ROUND|and|ROUND|the|OAT|mea|L-CHEST	0	0	0	0
en.yeats.early_line000273_bec|AUSE|it|HAD|such|DI|gn.ity	0	0	1	0
en.yeats.early_line000028_SAV|ing|IN|thine|OWN|heart.seek|THEN	0	0	0	1
en.yeats.early_line000258_a|CROWD|up|ON|a|SHORE	0	0	0	0
en.yeats.early_line000014_WHERE|are|NOW|the|WAR|ring|KINGS	0	0	0	0
en.yeats.early_line000219_OF|your.bel|OVED|in|SLEEP	0	0	1	0
en.yeats.early_line000187_WOV|en.by|LAD|ies|IN|their|HAIR	0	0	0	0
en.yeats.early_line000149_UN|der.the|GOL|den|OR|the|SIL|ver|SKIES	0	0	1	0
en.yeats.early_line000021_in|CLA|nging|SPACE|a|MOM|ent|HEARD	0	0	0	0
en.yeats.early_line000199_throne|OV|er|THRONE|where.in|HALF|sleep	0	0	0	2
en.yeats.early_line000221_FOLK|dance|LIKE|a|WAVE|of.the|SEA	0	0	0	1
en.yeats.early_line000182_in|SH|ad.owy|POOLS|when|ARM|ies|FLED	0	0	0	0
en.yeats.early_line000206_we|WHO|still|LAB|our|BY|the|CRO|mlech|ON|the|SHORE	0	0	0	1
en.yeats.early_line000078_MI|ng.ling|HANDS|and|MI|ng.ling|GLA|nces	0	0	0	0
en.yeats.early_line000006_BUT|o.sick|CHI|ldren|OF|the|WORLD	0	0	1	1
en.yeats.early_line000058_for|FAIR|are|POP|pies|ON|the|BROW	0	0	0	0
en.yeats.early_line000134_it|SEEMED|they|RAISED|their|LI|ttle|SIL|ver|HEADS	0	0	0	0
en.yeats.early_line000113_to.the|WAT|ers|AND|the|WILD	0	0	1	0
en.yeats.early_line000246_TA|ra.up|RO|oted.and|NEW|co|MM|onness	0	0	1	0
en.yeats.early_line000148_there|DWELT|a.gay|EX|ul.ting|GEN|tle|RACE	0	0	0	1
en.yeats.early_line000266_BY|the|SWEET|name.of|DEATH	0	0	0	1
en.yeats.early_line000255_i|SWAYED|up|ON|the|GAU|dy|STEM	0	0	0	0
en.yeats.early_line000069_to.the|WAT|ers|AND|the|WILD	0	0	1	0
en.yeats.early_line000121_a|GIRL|ar|OSE|that|HAD|red|MOUR|nful|LIPS	0	0	1	1
en.yeats.early_line000274_BY|the|SWEET|name.of|DEATH	0	0	0	1
en.yeats.early_line000215_and.hands|HURL|in.the|DEEP	0	0	0	1
en.yeats.early_line000124_and|PROUD|as|PRI|am|MUR|dered|WITH|his|PEERS	0	0	0	0
en.yeats.early_line000049_and|I|would|PLEASE|the|HAP|less|FAUN	0	0	0	0
en.yeats.early_line000156_when|EA|rthy|NIGHT|had|DRUNK|his|BO|dy.in	0	0	0	0
en.yeats.early_line000264_CRIED|out.up|ON|that|THING|ben|EATH	0	0	0	0
en.yeats.early_line000195_and|WHEN|you|SIGH|from|KISS|to|KISS	0	0	0	0
en.yeats.early_line000008_in|DRE|ary|DAN|cing|PAST|us|WHIRLED	0	0	0	0
en.yeats.early_line000063_where|FLA|pping|HER|ons|WAKE	0	0	0	0
en.yeats.early_line000080_to.and|FRO|we|LEAP	0	0	0	0
