"syll","perf","perfword","allow","allowword"
"ab","ab","bab, cab, dab, mab, nab, blab, crab, drab, scab, stab","abe","babe, astrolabe"
"ace","ace, ase","ace, dace, pace, face, lace, mace, race, brace, chace, grace, place, space, trace, apace, deface, efface, disgrace, displace, misplace, embrace, grimace, interlace, retrace, populace, base, case, abase, debase","ass, eace, ease, ess","grass, glass, peace, cease, dress, less"
"ach","ach, atch","attach, detach, batch, match","etch","fetch, wretch"
"ack","ack, iac, ac","back, cack, hack, jack, lack, pack, quack, tack, sack, rack, black, clack, crack, knack, slack, snack, stack, track, wrack, attack, zodiac, demoniac, symposiac, almanac","ake, eck","bake, take, neck, speck"
"act","act, ack'd, acked","act, fact, pact, tract, attract, abstract, extract, compact, contract, detract, distract, exact, protract, enact, infract, subtract, transact, cataract","ake, ak'd, aked","bak'd, cak'd, baked, caked"
"ad","ad, add","add, bad, dad, gad, had, lad, mad, pad, sad, brad, clad, glad, plad, chad","ade, ede, ead","cade, fade, glede, bead, read"
"ade","ade, aid, ay'd, ey'd, eigh'd, ayed, eyed, eighed","cade, fade, made, jade, lade, wade, blade, glade, shade, spade, trade, degrade, evade, dissuade, invade, persuade, blockade, brigade, esplanade, cavalcade, masquerade, renegade, retrograde, serenade, ambsucade, cannonade, pallisade, aid, maid, braid, afraid, upbraid, play'd, obey'd, weigh'd, played, obeyed, weighed","add, ad, ed, ead, eed","add, bad, bed, dead, bead, mead, heed, need"
"afe","afe","safe, chafe, vouchsafe","eaf, augh, aff","leaf, sheaf, deaf, laugh, staff"
"aff","aff, aph, augh","gaff, chaff, draff, graff, quaff, staff, engraff, epitaph, cenotaph, paragraph, laugh","afe","safe, chafe"
"aft","aft, aff'd, augh'd, aughed","aft, haft, raft, waft, craft, shaft, abaft, graft, draft, ingraft, handicraft, draught, quaff'd, laugh'd, quaffed, laughed","af'd, afed","chaf'd, vouchsaf'd, chafed, vouchsafed"
"ag","ag","bag, cag, fag, gag, nag, quag, rag, tag, wag, brag, crag, drag, flag, knag, shag, snag, stag, swag, wrag, scrag, Brobdignag",NA,NA
"age","age","age, cage, gage, page, rage, sage, wage, stage, swage, assuage, engage, disengage, enrage, presage, appennage, concubinage, heritage, hermitage, parentage, personage, parsonage, pasturage, patronage, pilgrimage, villanage, equipage","edge, iege, ige","edge, wedge, liege, siege, oblige"
"aid","aid, ade, ay'd, ey'd, eigh'd, ayed, eyed, eighed","cade, fade, made, jade, lade, wade, blade, glade, shade, spade, trade, degrade, evade, dissuade, invade, persuade, blockade, brigade, esplanade, cavalcade, masquerade, renegade, retrograde, serenade, ambsucade, cannonade, pallisade, aid, maid, braid, afraid, upbraid, play'd, obey'd, weigh'd, played, obeyed, weighed","add, ad, ed, ead, eed","add, bad, bed, dead, bead, mead, heed, need"
"aight","ate, ait","bate, date, fate, gate, grate, hate, late, mate, pate, plate, prate, rate, sate, state, scate, slate, abate, belate, collate, create, debate, elate, dilate, estate, ingrate, innate, rebate, relate, sedate, translate, abdicate, abominate, abrogate, accelerate, accommodate, accumulate, accurate, adequate, affectionate, advocate, adulterate, aggravate, agitate, alienate, animate, annihilate, antedate, anticipate, antiquate, arbitrate, arrogate, articulate, assassinate, calculate, capitulate, captivate, celebrate, circulate, coagulate, commemorate, commisserate, communicate, compassionate, confederate, congratulate, congregate, consecrate, contaminate, corroborate, cultivate, candidate, cooperate, celibate, considerate, consulate, capacitate, debilitate, dedicate, degenerate, delegate, deliberate, denominate, depopulate, dislocate, deprecate, discriminate, derogate, dissipate, delicate, disconsolate, desolate, desperate, educate, effeminate, elevate, emulate, estimate, elaborate, equivocate, eradicate, evaporate, exaggerate, exasperate, expostulate, exterminate, extricate, facilitate, fortunate, generate, gratulate, hesitate, illiterate, illuminate, irritate, imitate, immoderate, impetrate, importunate, imprecate, inanimate, innovate, instigate, intemperate, intimate, intimidate, intoxicate, intricate, invalidate, inveterate, inviolate, legitimate, magistrate, meditate, mitigate, moderate, necessitate, nominate, obstinate, participate, passionate, penetrate, perpetrate, personate, potentate, precipitate, predestinate, predominate, premeditate, prevaricate, procrastinate, profligate, prognosticate, propagate, recriminate, regenerate, regulate, reiterate, reprobate, reverberate, ruminate, separate, sophisticate, stipulate, subjugate, subordinate, suffocate, terminate, tolerate, temperate, vindicate, violate, unfortunate, bait, plait, strait, wait, await, great","eight eat, at, et","eight, weight, height, streight, beat, heat, bat, cat, bet, wet"
"aign","ain, ane, aign, eign, ein","cain, blain, brain, chain, fain, gain, grain, lain, main, pain, rain, vain, wain, drain, plain, slain, Spain, stain, swain, train, twain, sprain, strain, abstain, amain, attain, complain, contain, constrain, detain, disdain, distrain, enchain, entertain, explain, maintain, ordain, pertain, obtain, refrain, regain, remain, restrain, retain, sustain, appertain, bane, cane, dane, crain, fane, jane, lane, mane, plane, vane, wane, profane, hurricane, daign, arraign, campaign, feign, reign, vein, rein","ean, een, an, en","lean, mean, queen, seen, ban, can, den, pen"
"ail","ail, ale","ail, bail, fail, hail, jail, mail, nail, pail, quail, rail, sail, tail, wail, flail, frail, snail, trail, assail, avail, detail, bewail, entail, prevail, retail, countervail, ale, bale, dale, gale, hale, male, pale, sale, tale, vale, wale, scale, shale, stale, swale, whale, impale, exhale, regale, veil, nightingale","eal, ell","peal, steal, bell, cell"
"aim","ame, aim","blame, came, dame, same, flame, fame, frame, game, lame, name, same, tame, shame, inflame, became, defame, misname, misbecame, overcame, aim, claim, maim, acclaim, declaim, disclaim, exclaim, proclaim, reclaim","am, em, eme, eam","dam, ham, hem, them, theme, scheme, dream, gleam"
"ain","ain, ane, aign, eign, ein","cain, blain, brain, chain, fain, gain, grain, lain, main, pain, rain, vain, wain, drain, plain, slain, Spain, stain, swain, train, twain, sprain, strain, abstain, amain, attain, complain, contain, constrain, detain, disdain, distrain, enchain, entertain, explain, maintain, ordain, pertain, obtain, refrain, regain, remain, restrain, retain, sustain, appertain, bane, cane, dane, crain, fane, jane, lane, mane, plane, vane, wane, profane, hurricane, daign, arraign, campaign, feign, reign, vein, rein","ean, een, an, en","lean, mean, queen, seen, ban, can, den, pen"
"aint","aint, eint","faint, paint, plaint, quaint, saint, taint, acquaint, attaint, complaint, constraint, restraint, feint","ant, ent","cant, pant, lent, rent"
"air","are, air, ear, ere, e'er, eir","bare, care, dare, fare, hare, mare, pare, rare, tare, ware, flare, glare, scare, share, snare, spare, square, stare, sware, prepare, aware, beware, compare, declare, ensnare, air, fair, hair, lair, pair, chair, stair, affair, debonnair, despair, impair, repair, bear, pear, swear, tear, wear, forbear, forswear, there, were, where, ere, e'er, ne'er, elsewhere, whate'er, howe'er, howsoe'er, whene'er, wheree'er, heir, coheir, their","ar","bar, car, err, prefer, here, hear, regular, singular, war"
"aise","aze, aise, ase, ays, eighs, eys","craze, daze, blaze, gaze, glaze, maze, raze, amaze, graze, raise, praise, dispraise, phrase, paraphrase, days, inveighs, obeys","ease, eize","ease, teaze, seize, keys, has, was"
