Line Scheme	Meter Scheme	PoemID	Poet	Title	Year	line	line_num	parse	parse_human2
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	I am monarch of all I survey,	(1, 1)	wwswwswws	ww|s|ww|s|ww|s
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	My right there is none to dispute,	(2, 1)	wswwswws	ws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	From the centre all round to the sea,	(3, 1)	wwswwswws	wws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	I am lord of the fowl and the brute.	(4, 1)	wwswwswws	wws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	O solitude! where are the charms	(5, 1)	wswwswws	ws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	That sages have seen in thy face?	(6, 1)	wswwswws	ws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	Better dwell in the midst of alarms,	(7, 1)	swswwswws	wws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	Than reign in this horrible place.	(8, 1)	wswwswws	ws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	I am out of humanity's reach,	(9, 2)	wwswwswws	wws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	I must finish my journey alone,	(10, 2)	wwswwswws	wws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	Never hear the sweet music of speech,	(11, 2)	wwswwswws	wws|wws|wws
