meter,poem,line,scansion,feet_prior,feet_auto,feet,note
iambic,To a Skylark,"Joyous, and clear, and fresh, thy music doth surpass.",swwswswswsws,s|ww|s|w|s|w|s|w|s|w|s,sw|ws|ws|ws|ws|ws,s|ww|s|w|s|w|s|w|s|w|s,
iambic,To a Skylark,"Thy skill to poet were, thou scorner of the ground!",wswswswswsws,w|s|w|s|w|s|w|s|w|s|w|s,ws|ws|ws|ws|ws|ws,w|s|w|s|w|s|w|s|w|s|w|s,
iambic,,"The tedious Rector drawling o'er his head,",wswswswsws,w|s|w|s|w|s|w|s|w|s,ws|ws|ws|ws|ws,w|s|w|s|w|s|w|s|w|s,
iambic,,"United yet divided, twain at once.",wswswswsws,w|s|w|s|w|s|w|s|w|s,ws|ws|ws|ws|ws,w|s|w|s|w|s|w|s|w|s,
iambic,,And read with gentle breast. Beneath this sod,wswswswsws,w|s|w|s|w|s|w|s|w|s,ws|ws|ws|ws|ws,w|s|w|s|w|s|w|s|w|s,
iambic,,"To sleep within the carriage more secure,",wswswswsws,w|s|w|s|w|s|w|s|w|s,ws|ws|ws|ws|ws,w|s|w|s|w|s|w|s|w|s,
iambic,,"Happy the man, whose wish and care",swwswsws,s|ww|s|w|s|w|s,sw|ws|ws|ws,s|ww|s|w|s|w|s,
iambic,,"With here and there a tuft of crimson yarn,",wswswswsws,w|s|w|s|w|s|w|s|w|s,ws|ws|ws|ws|ws,w|s|w|s|w|s|w|s|w|s,
iambic,,"The nurse sleeps sweetly, hired to watch the sick",wswswswsws,w|s|w|s|w|s|w|s|w|s,ws|ws|ws|ws|ws,w|s|w|s|w|s|w|s|w|s,
iambic,,"Sweet sleep enjoys the Curate in his desk,",wswswswsws,w|s|w|s|w|s|w|s|w|s,ws|ws|ws|ws|ws,w|s|w|s|w|s|w|s|w|s,
iambic,,Now seek repose upon an humbler theme;,wswswswsws,w|s|w|s|w|s|w|s|w|s,ws|ws|ws|ws|ws,w|s|w|s|w|s|w|s|w|s,
iambic,,"That interlaced each other, these supplied",wswswswsws,w|s|w|s|w|s|w|s|w|s,ws|ws|ws|ws|ws,w|s|w|s|w|s|w|s|w|s,
iambic,,"And where, secure as mouse in chink,",wswswsws,w|s|w|s|w|s|w|s,ws|ws|ws|ws,w|s|w|s|w|s|w|s,
iambic,,"That passion's force, and so did she.",wswswsws,w|s|w|s|w|s|w|s,ws|ws|ws|ws,w|s|w|s|w|s|w|s,
iambic,,"Half open in the topmost chest,",wswswsws,w|s|w|s|w|s|w|s,ws|ws|ws|ws,w|s|w|s|w|s|w|s,
iambic,,And a blush for having done it:,wwswswsw,ww|s|w|s|w|s|w,wws|wsw|sw,ww|s|w|s|w|s|w,
iambic,,Was cold and comfortless within:,wswswsws,w|s|w|s|w|s|w|s,ws|ws|ws|ws,w|s|w|s|w|s|w|s,
iambic,,"Are big with mercy, and shall break",wswswsws,w|s|w|s|w|s|w|s,ws|ws|ws|ws,w|s|w|s|w|s|w|s,
iambic,,"O what can be done, shall we stay or run?",wswwswwsws,w|s|ww|s|ww|s|w|s,ws|wws|wws|ws,w|s|ww|s|ww|s|w|s,
iambic,,"Consoled him, and dispell'd his fears;",wswswsws,w|s|w|s|w|s|w|s,ws|ws|ws|ws,w|s|w|s|w|s|w|s,
iambic,,"And forth he peep'd, but nothing spied;",wswswsws,w|s|w|s|w|s|w|s,ws|ws|ws|ws,w|s|w|s|w|s|w|s,
iambic,,"A drawer impending o'er the rest,",wswswsws,w|s|w|s|w|s|w|s,ws|ws|ws|ws,w|s|w|s|w|s|w|s,
iambic,,"Whose trees in summer yield him shade,",wswswsws,w|s|w|s|w|s|w|s,ws|ws|ws|ws,w|s|w|s|w|s|w|s,
iambic,,"Nor slept a single wink or purr'd,",wswswsws,w|s|w|s|w|s|w|s,ws|ws|ws|ws,w|s|w|s|w|s|w|s,
iambic,,"He left his bed, he trod the floor,",wswswsws,w|s|w|s|w|s|w|s,ws|ws|ws|ws,w|s|w|s|w|s|w|s,
iambic,,"A drawer, it chanced, at bottom lined",wswswsws,w|s|w|s|w|s|w|s,ws|ws|ws|ws,w|s|w|s|w|s|w|s,
iambic,,"And slept as she would sleep her last,",wswswsws,w|s|w|s|w|s|w|s,ws|ws|ws|ws,w|s|w|s|w|s|w|s,
iambic,,"On me, on me descend;",wswsws,w|s|w|s|w|s,ws|ws|ws,w|s|w|s|w|s,
iambic,,"Some trance of rapture, show",wswsws,w|s|w|s|w|s,ws|ws|ws,w|s|w|s|w|s,
iambic,,In his own ground.,wsws,w|s|w|s,ws|ws,w|s|w|s,
trochaic,The Last Oracle,"God by God goes out, discrowned and disanointed,",swswswswswsw,s|w|s|w|s|w|s|w|s|w|s|w,sw|sw|sw|sw|sw|sw,s|w|s|w|s|w|s|w|s|w|s|w,
trochaic,The Last Oracle,"Not a cell is left the God, no roof, no cover",swswswswswsw,s|w|s|w|s|w|s|w|s|w|s|w,sw|sw|sw|sw|sw|sw,s|w|s|w|s|w|s|w|s|w|s|w,
