author	title	date	text	scansion	num_sylls	frequency
Anonymous	Roses Are Red	1784?	Roses are red,	wsws	4	1
Anonymous	Roses Are Red	1784?	Violets are blue,	wsws	4	1
Anonymous	Roses Are Red	1784?	Sugar is sweet,	wsws	4	1
Anonymous	Roses Are Red	1784?	And so are you.	wsws	4	1
Anonymous	Westron Wynde	1500?	Westron wynde when wyll thow blow	wswswsws	8	1
Anonymous	Westron Wynde	1500?	The smalle rayne downe can rayne	wswsws	6	1
Anonymous	Westron Wynde	1500?	Chryst yf my love wer in my armes	wswswsws	8	1
Anonymous	Westron Wynde	1500?	And I yn my bed agayne	wswsws	6	1
Matthew Arnold	Dover Beach	1867	The sea is calm tonight.	wswsws	6	1
Matthew Arnold	Dover Beach	1867	The tide is full, the moon lies fair	wswswsws	8	1
Matthew Arnold	Dover Beach	1867	Upon the straits; on the French coast, the light	wswswswsws	10	1
Matthew Arnold	Dover Beach	1867	Gleams and is gone; the cliffs of England stand,	wswswswsws	10	1
Matthew Arnold	Dover Beach	1867	Glimmering and vast, out in the tranquil bay.	wswswswsws	10	1
Matthew Arnold	Dover Beach	1867	Come to the window, sweet is the night-air!	wswswswsws	10	1
Matthew Arnold	Dover Beach	1867	Only, from the long line of spray	wswswsws	8	1
Matthew Arnold	Dover Beach	1867	Where the sea meets the moon-blanched land,	wswswsws	8	1
Matthew Arnold	Dover Beach	1867	Listen! you hear the grating roar	wswswsws	8	1
Matthew Arnold	Dover Beach	1867	Of pebbles which the waves draw back, and fling,	wswswswsws	10	1
Matthew Arnold	Dover Beach	1867	At their return up the high strand,	wswswsws	8	1
Matthew Arnold	Dover Beach	1867	Begin, and cease, and then again begin,	wswswswsws	10	1
Matthew Arnold	Dover Beach	1867	With tremulous cadence slow, and bring	wswswsws	8	1
Matthew Arnold	Dover Beach	1867	The eternal note of sadness in.	wswswsws	8	1
Matthew Arnold	Dover Beach	1867	Sophocles long ago	wswsws	6	1
Matthew Arnold	Dover Beach	1867	Heard it on the Aegean, and it brought	wswswswsws	10	1
Matthew Arnold	Dover Beach	1867	Into his mind the turbid ebb and flow	wswswswsws	10	1
Matthew Arnold	Dover Beach	1867	Of human misery; we	wswsws	6	1
Matthew Arnold	Dover Beach	1867	Find also in the sound a thought,	wswswsws	8	1
Matthew Arnold	Dover Beach	1867	Hearing it by this distant northern sea.	wswswswsws	10	1
Matthew Arnold	Dover Beach	1867	The Sea of Faith	wsws	4	1
Matthew Arnold	Dover Beach	1867	Was once, too, at the full, and round earth's shore	wswswswsws	10	1
Matthew Arnold	Dover Beach	1867	Lay like the folds of a bright girdle furled.	wswswswsws	10	1
Matthew Arnold	Dover Beach	1867	But now I only hear	wswsws	6	1
Matthew Arnold	Dover Beach	1867	Its melancholy, long, withdrawing roar,	wswswswsws	10	1
Matthew Arnold	Dover Beach	1867	Retreating, to the breath	wswsws	6	1
Matthew Arnold	Dover Beach	1867	Of the night-wind, down the vast edges drear	wswswswsws	10	1
Matthew Arnold	Dover Beach	1867	And naked shingles of the world.	wswswsws	8	1
Matthew Arnold	Dover Beach	1867	Ah, love, let us be true	wswsws	6	1
Matthew Arnold	Dover Beach	1867	To one another! for the world, which seems	wswswswsws	10	1
Matthew Arnold	Dover Beach	1867	To lie before us like a land of dreams,	wswswswsws	10	1
Matthew Arnold	Dover Beach	1867	So various, so beautiful, so new,	wswswswsws	10	1
Matthew Arnold	Dover Beach	1867	Hath really neither joy, nor love, nor light,	wswswswsws	10	1
Matthew Arnold	Dover Beach	1867	Nor certitude, nor peace, nor help for pain;	wswswswsws	10	1
Matthew Arnold	Dover Beach	1867	And we are here as on a darkling plain	wswswswsws	10	1
Matthew Arnold	Dover Beach	1867	Swept with confused alarms of struggle and flight,	wswswswsws	10	1
Matthew Arnold	Dover Beach	1867	Where ignorant armies clash by night.	wswswsws	8	1
Sir Philip Sidney	Astrophel and Stella: 31	1591	With how sad steps, O Moone, thou climb'st the skies,	wswswswsws	10	1
Sir Philip Sidney	Astrophel and Stella: 31	1591	How silently, and with how wanne a face,	wswswswsws	10	1
Sir Philip Sidney	Astrophel and Stella: 31	1591	What, may it be that even in heav'nly place	wswswswswsws	12	1
Sir Philip Sidney	Astrophel and Stella: 31	1591	That busie archer his sharpe arrowes tries?	wswswswsws	10	1
Sir Philip Sidney	Astrophel and Stella: 31	1591	Sure, if that long with Love acquainted eyes	wswswswsws	10	1
Sir Philip Sidney	Astrophel and Stella: 31	1591	Can judge of Love, thou feel'st a Lover's case;	wswswswsws	10	1
Sir Philip Sidney	Astrophel and Stella: 31	1591	I reade it in thy lookes, thy languisht grace,	wswswswsws	10	1
Sir Philip Sidney	Astrophel and Stella: 31	1591	To me that feele the like, thy state descries.	wswswswsws	10	1
Sir Philip Sidney	Astrophel and Stella: 31	1591	Then ev'n of fellowship, O Moone, tell me	wswswswsws	10	1
Sir Philip Sidney	Astrophel and Stella: 31	1591	Is constant Love deem'd there but want of wit?	wswswswsws	10	1
Sir Philip Sidney	Astrophel and Stella: 31	1591	Are Beauties there as proud as here they be?	wswswswsws	10	1
Sir Philip Sidney	Astrophel and Stella: 31	1591	Do they above love to be lov'd, and yet	wswswswsws	10	1
Sir Philip Sidney	Astrophel and Stella: 31	1591	Those Lovers scorne whom that Love doth Possesse?	wswswswsws	10	1
Sir Philip Sidney	Astrophel and Stella: 31	1591	Do they call Vertue there ungratefulnesse?	wswswswsws	10	1
William Blake	Ah Sun-flower	1794	Ah Sun-flower, weary of time,	wwswwswws	9	1
William Blake	Ah Sun-flower	1794	Who countest the steps of the Sun,	wwswwswws	9	1
William Blake	Ah Sun-flower	1794	Seeking after that sweet golden clime	wwswwswws	9	1
William Blake	Ah Sun-flower	1794	Where the traveller's journey is done;	wwswwswws	9	1
William Blake	Ah Sun-flower	1794	Where the Youth pined away with desire,	wwswwswws	9	1
William Blake	Ah Sun-flower	1794	And the pale Virgin shrouded in snow,	wwswwswws	9	1
William Blake	Ah Sun-flower	1794	Arise from their graves and aspire,	wwswwswws	9	1
William Blake	Ah Sun-flower	1794	Where my Sun-flower wishes to go.	wwswwswws	9	1
William Blake	Eternity	Before 1818	He who binds to himself a joy	wswswsws	8	1
William Blake	Eternity	Before 1818	Doth the winged life destroy,	wswswsws	8	1
William Blake	Eternity	Before 1818	But he who kisses the joy as it flies	wswswsws	8	1
William Blake	Eternity	Before 1818	Lives in Eternity's sun rise.	wswswsws	8	1
William Blake	The Sick Rose	1794	O Rose, thou art sick!	wwswws	6	1
William Blake	The Sick Rose	1794	The invisible worm	wwswws	6	1
William Blake	The Sick Rose	1794	That flies in the night	wwswws	6	1
William Blake	The Sick Rose	1794	In the howling storm	wwswws	6	1
William Blake	The Sick Rose	1794	Has found out thy bed	wwswws	6	1
William Blake	The Sick Rose	1794	Of crimson joy,	wwswws	6	1
William Blake	The Sick Rose	1794	And his dark secret love	wwswws	6	1
William Blake	The Sick Rose	1794	Does thy life destroy.	wwswws	6	1
